idx;nome_deputado;transcricao
0;Capitão Alberto Neto;DISCURSO NA ÍNTEGRA ENCAMINHADO PELO SR. DEPUTADO CAPITÃO ALBERTO NETO (SEM REGISTRO TAQUIGRÁFICO). Excelentíssimo Senhor Presidente, Senhoras Deputadas, Senhores Deputados, Senhoras e senhores, Recentemente o Tribunal de Contas da União  TCU publicou o Ranking os Gastos Tributários com Maior Risco e colocou a Zona Franca de Manaus entre as cinco maiores políticas pública de alto risco. Com toda deferência metodológica do citado estudo, o respeitável Tribunal não deve ter considerado que a Zona Franca de Manaus (ZFM), instituída pelo Decreto-Lei nº 288/1967, constitui um dos mais relevantes instrumentos de política pública voltados ao desenvolvimento regional no Brasil. Desde sua criação, o modelo se estruturou a partir de incentivos fiscais com vistas à integração da Amazônia ao restante do país, associando objetivos econômicos, sociais e geopolíticos. Um dos aspectos mais relevantes apontados é a consolidação de um parque industrial sofisticado, composto por grandes empresas nacionais e internacionais que operam em setores estratégicos como eletroeletrônicos, motocicletas, bens de informática e indústria química. O Polo Industrial de Manaus (PIM) é atualmente considerado um dos mais modernos da América Latina, sendo responsável por aproximadamente 500 mil empregos diretos e indiretos, além de significativa movimentação econômica para a região. Os efeitos sobre a renda per capita constituem outro resultado positivo. Em 1970, a renda per capita do Amazonas era sete vezes inferior à de São Paulo. Em 2010, essa diferença foi reduzida para menos de duas vezes, revelando que a ZFM contribuiu para a diminuição das desigualdades regionais históricas no país. Além disso, verificou-se melhora nos indicadores sociais da população local, como o acesso à água e o aumento dos anos médios de escolaridade em Manaus, que superam inclusive a média estadual paulista, evidenciando o impacto positivo sobre o capital humano. No campo ambiental, embora os efeitos sejam modestos, os estudos indicam que a concentração das atividades industriais no Amazonas tem contribuído para conter, ainda que de forma limitada, o avanço do desmatamento. A industrialização, nesse sentido, atua como fator de proteção indireta da floresta, reduzindo a pressão sobre atividades predatórias como a pecuária extensiva e a exploração madeireira (FGV, 2018, p. 11). Do ponto de vista fiscal, cabe destacar o elevado efeito multiplicador dos incentivos concedidos. Segundo os cálculos apresentados, cada real destinado ao programa retorna entre R$ 1,14 e R$ 3,03 em renda para a região. Esse resultado é expressivamente superior ao observado em outras políticas públicas brasileiras, que frequentemente apresentam multiplicadores próximos de zero. Tal dado reforça a efetividade da ZFM enquanto instrumento de desenvolvimento econômico e social. Ademais, a ZFM deve ser compreendida não apenas sob a ótica econômica, mas também estratégica. Desde sua origem, desempenha papel de integração territorial e de afirmação da soberania nacional sobre a Amazônia, garantindo presença produtiva e demográfica em uma área geopolítica sensível. Esse caráter estratégico é fundamental para compreender sua permanência e a prorrogação dos incentivos fiscais até 2073. Em síntese, a política pública da Zona Franca de Manaus se consolidou como um modelo exitoso de política regional. Seus impactos positivos podem ser observados no fortalecimento do parque industrial, na geração de emprego e renda, na redução das desigualdades regionais, no incremento do capital humano e até em efeitos ambientais indiretos. Apesar das críticas quanto ao custo fiscal, os resultados evidenciados demonstram que a ZFM gera retornos superiores ao investimento público nela realizado, configurando-se como peça central para o desenvolvimento econômico e social da Amazônia. Solicito a divulgação deste discurso nos meios de comunicação da Câmara dos Deputados e no programa Voz do Brasil.
1;Sóstenes Cavalcante;O SR. SÓSTENES CAVALCANTE (PL - RJ. Sem revisão do orador.) - Ilustre Presidente Pompeo de Mattos, colegas Deputados, na função de Parlamentar, cada um de nós tem prerrogativas constitucionais. Uma delas é a de fiscalizar o Poder Executivo. E uma das ferramentas constitucionais para essa fiscalização é o requerimento de informação. Colegas Parlamentares e Brasil, eu fiz três requerimentos de informação, já há alguns meses, à SECOM  Secretaria de Comunicação Social  inclusive, é Ministro um colega, o Deputado Paulo Pimenta , para saber quanto o atual Governo está investindo em publicidade na Rede Globo, no SBT e na Bandeirantes, haja vista que nós vimos alguns apresentadores, como Datena e Ratinho, fazendo propaganda do desgoverno Lula em seus 100 primeiros dias. Eu queria saber quanto este desgoverno investiu nessas publicidades. Pasmem os senhores: na minha função de fiscalizador, como membro do Poder Legislativo, que constitucionalmente fiscaliza o Executivo, eu recebo agora uma resposta oficial da SECOM, do Ministro Paulo Pimenta, enviada, é lógico, pelo seu chefe de gabinete, assinada por ele, o Sr. Lucas Monteiro Costa Dias, que me recomenda alguns links para eu ver quanto foi gasto. Ora bolas, se eu quisesse saber sobre links, eu acessaria a Internet e veria. Não foi isso que pedi. É obrigação do Executivo informar o Legislativo quando existir requerimento de informação. Eu creio que o Ministro da SECOM está querendo tratar este Parlamento como um Parlamento de otários, o que nós não somos. Ele deve explicar isso, até porque, como fiscalizador... Esse desgoverno que aí está, no passado, foi também um governo que se enlameou na corrupção, e é meu dever, é dever deste Parlamento, de cada Parlamentar, fiscalizar para que isso não volte a se repetir. Aí me mandam um link. Ora, e se houver diferença entre o que está no link e o que ele me informa oficialmente? Para nós Parlamentares vale a informação oficial, que nós requeremos via requerimento de informações. Então, eu faço um apelo. Mais uma vez, estou enviando  novamente  esse requerimento de informação ao Ministro, porque parece que pimenta nos olhos dos outros é refresco, Presidente. E eu não vou me curvar a esse tipo de resposta vazia, inócua e irresponsável deste Ministro e deste desgoverno. Esta Câmara merece respeito, e eu quero todas informações detalhadas de quanto este desgoverno está gastando em publicidade na Rede Globo, na Rede Bandeirantes e no SBT, tudo detalhado, porque eu vou cruzar dado com dado. Nós não vamos aceitar que a corrupção volte, e é disso que o desgoverno que aí está gosta. Muito obrigado.
2;Cleber Verde;"O SR. CLEBER VERDE (Bloco/MDB - MA. Sem revisão do orador.) - Sr. Presidente, quero cumprimentar V.Exa., que tanto honra o Estado do Rio Grande do Sul e, especialmente, vem ajudando muito o País. Eu admiro muito o trabalho de V.Exa., principalmente quando cita algumas frases de efeito. Deputado Pompeo de Mattos, há um ditado popular que diz: ""Água mole em pedra dura tanto bate até que fura"". Eu quero dizer a V.Exa. que nós, nesta Casa, temos que fazer justiça aos aposentados do País. Nós apresentamos a Proposta de Emenda à Constituição nº 6, de 2019, a PEC Social, que permite, de forma gradativa, diminuir a contribuição, a taxação dos inativos  servidores públicos aposentados e pensionistas , que, ao longo dos anos, já contribuíram muito com o País e continuam contribuindo depois de aposentados. Porém, esses aposentados não vão ter outra aposentadoria, não terão outros benefícios. Então, não faz sentido essa contribuição. Sras. e Srs. Deputados, essa contribuição era só para aquele momento. Ela era provisória e tornou-se definitiva. Então, nós precisamos fazer justiça aos nossos aposentados. A PEC 6, chamada de PEC Social, tem o apoio de todas as instituições do País. Todos os servidores públicos uniram-se em torno dessa PEC. Queremos o apensamento dela à Proposta de Emenda à Constituição nº 555, de 2006, que está na Casa há mais de 10 anos para ser votada. Eu quero conclamar os Parlamentares, aqueles que lutam em seus Estados em favor dos aposentados, para que juntos possamos garantir essa vitória. Eu quero citar Rui Barbosa, porque essa é uma causa social. Rui Barbosa dizia o seguinte: ""Não há nada mais relevante para a vida social do que a formação do sentimento de justiça"". Votar essa PEC e garantir o fim dessa contribuição dos inativos e pensionistas é justiça. Portanto, eu quero convidá-los a estar junto conosco nessa luta. Muito obrigado, Sr. Presidente."
3;Lucas Redecker;"O SR. LUCAS REDECKER (Bloco/PSDB - RS. Sem revisão do orador.) - Presidente, na semana que passou, no Rio Grande do Sul, nós tivemos catástrofes climáticas. Eu estive em vários Municípios atingidos do Vale do Taquari. De fato, é algo inimaginável. É como se estivesse explodido uma bomba em alguns Municípios. Casas foram levadas inteiras, escolas destruídas, pessoas perderam a vida, famílias inteiras. De ontem para hoje, infelizmente, começou a chover na fronteira oeste, outros rios estão subindo no Rio Grande do Sul. Nós estamos em um momento muito delicado. O Governador Eduardo Leite esteve nesses Municípios, fez anúncios, encaminhou ajuda, assim como o Governo Federal. No entanto, o que nos chama a atenção é a solidariedade do povo gaúcho e do povo brasileiro. As pessoas se mobilizam, não apenas fazendo doações, mas também indo ajudar com pá, enxada, maquinário, para tentar resolver e amenizar o problema dessas cidades. Também há solidariedade entre os Municípios. Muitos Municípios vizinhos encaminharam sua estrutura para as cidades atingidas. E agora o ponto que eu quero tratar desta tribuna. Há pouco tempo, nós tivemos outra catástrofe climática no Rio Grande do Sul e vimos que há um limbo para os Municípios. Quando os Municípios atendem outros Municípios, emprestam maquinário ou funcionários públicos, os Prefeitos podem ser apontados pelo Tribunal de Contas, porque não está previsto gastar recursos com outros Municípios. Naquele momento, eu apresentei um projeto de lei no sentido de que, quando Municípios decretarem situação de emergência, haverá a possibilidade de os Municípios vizinhos ou Municípios do mesmo Estado conseguirem emprestar maquinário, levar mão de obra e ter a tranquilidade de não serem apontados pelo Tribunal de Contas; eles terão suas contas aprovadas ajudando outros Municípios ou as mesmas regiões. Portanto, esse é um projeto importantíssimo para entrar na Ordem do Dia desta Casa. Eu já pedi ao nosso Líder Adolfo Viana que converse com o Presidente Lira para que nós possamos votar esse projeto e nos blindar contra catástrofes que venham a acontecer em vários cantos do Brasil, em várias regiões do Brasil. Dessa forma, nós poderemos manter, ampliar a solidariedade entre os Municípios, ampliar o empréstimo de maquinário, o empréstimo de servidores. Daremos tranquilidade ao Prefeito que estiver fazendo a sua parte, ajudando o Município vizinho ou o Município da região, e ele não terá que se preocupar com a prestação de contas, em ser apontado e muitas vezes punido por ajudar outros Municípios. Esse é um ponto importante que nós temos que debater nesta Casa para avançar na legislação e conseguir dar liberdade e tranquilidade para os Prefeitos dos Municípios se ajudarem. Obrigado, Presidente."
4;Luiz Lima;"O SR. LUIZ LIMA (NOVO - RJ. Pela ordem. Sem revisão do orador.) - Obrigado, Presidente Folletto. Esse dado que o Deputado Jordy trouxe é real: 230 bilhões de reais é o rombo em 2023. A ""Covid-13"" é muito pior do que a Covid-19. Disso a gente não tem dúvida. Brasileiros que foram ao supermercado esta semana, no fim de semana, ontem, vocês se lembram do preço dos alimentos no Governo Bolsonaro? O preço da picanha  o Presidente Lula teve a irresponsabilidade, na propaganda eleitoral e no debate, de prometer diminuir o preço da picanha  aumentou 30% desde o início do desgoverno Lula. Deputada do Governo vir aqui e dizer que o Governo Bolsonaro deixou um rombo de 800 bilhões de reais, passando pela pandemia de 2020, passando pela guerra da Ucrânia, mesmo assim os alimentos não chegaram aos preços estratosféricos a que chegam no desgoverno Lula. Obrigado, Presidente Folletto."
5;Gilson Daniel;O SR. GILSON DANIEL (Bloco/PODE - ES. Pela ordem. Sem revisão do orador.) - Sr. Presidente, quero falar sobre o Município de Iúna, Município em que este Deputado foi o mais votado e pelo qual nós temos um carinho muito grande. Nós conseguimos a pavimentação da estrada parque que liga a BR-262 ao Município de Iúna, a Pedra Roxa, em Ibitirama, e também a São José do Calçado, uma estrada que beneficia, portanto, três Municípios: Irupi, Iúna e Ibitirama. É uma estrada parque importante. Além disso, nós conseguimos a construção de uma escola na comunidade Santa Clara. Essa escola já está em construção e será entregue à comunidade  lá já existe uma escola. Os Vereadores Adimilson, Enfermeiro Emmanuel e Jonathan e as lideranças Moacir, de Pequiá, e Joadir pediram um redutor de velocidade nessa rodovia. Nós conseguimos o asfalto, conseguimos a escola e agora nós queremos um redutor de velocidade. Pedimos isso à Secretaria de Estado da Agricultura, Abastecimento, Aquicultura e Pesca  Seag, e ao Departamento de Edificações e de Rodovias do Espírito Santo  DER-ES. Já fizemos o pedido por escrito, atendendo às solicitações dos nossos Vereadores, das lideranças locais e da comunidade de Santa Clara, que quer um redutor de velocidade nessa estrada, que agora está asfaltada, o que coloca as crianças da escola um risco. Então, nós pedimos à Seag e ao DER que providenciem a instalação de um redutor de velocidade na rodovia que corta a comunidade de Santa Clara. Muito obrigado, Sr. Presidente.
6;Roberta Roma;DISCURSO NA ÍNTEGRA ENCAMINHADO PELA SRA. DEPUTADA ROBERTA ROMA (SEM REGISTRO TAQUIGRÁFICO). O Brasil que produz e o agro que transforma Senhor presidente, senhoras e senhores deputados, subo hoje a esta tribuna para defender um setor que é, ao mesmo tempo, orgulho nacional e motor do nosso desenvolvimento: o agronegócio brasileiro. E quero falar, em especial, do agro baiano, que é símbolo de trabalho, inovação e esperança. Do sertão ao litoral, da agricultura familiar ao grande produtor, o campo da Bahia é um exemplo de força, de resiliência e de amor à terra. O agro não é apenas economia, é cultura, é tradição, é a vida que pulsa no interior do brasil. O agronegócio responde por cerca de 25% do PIB nacional e por quase metade das exportações brasileiras. Na Bahia, esse setor é ainda mais expressivo: são mais de 600 mil empregos diretos, mais de R$ 80 bilhões de valor bruto da produção, e uma cadeia que vai do cacau ao algodão, da soja ao café, do leite à fruticultura. A região oeste baiana, por exemplo, é hoje um dos grandes polos agrícolas do país, modelo de produtividade e tecnologia. Mas, ao mesmo tempo, o semiárido e o recôncavo mostram que o pequeno produtor, a agricultura familiar, também são fundamentais. São eles que colocam comida na mesa do povo brasileiro, que mantêm vivas as tradições rurais e que sustentam o abastecimento interno do país. É importante reafirmar: o agro brasileiro é, sim, sustentável. O produtor rural brasileiro preserva 66% da vegetação nativa do país, segundo a Embrapa. Nenhuma outra nação produtora de alimentos tem uma legislação ambiental tão rigorosa quanto a nossa. E, mais que isso, o produtor está investindo em tecnologia e inovação. Hoje temos drones monitorando lavouras, sensores de irrigação inteligente, biotecnologia aumentando a produtividade e práticas de manejo que reduzem o impacto ambiental. O agro não é inimigo do meio ambiente, é o seu maior aliado. A verdadeira sustentabilidade é aquela que gera renda, preserva o solo e dá dignidade a quem vive da terra. O agro não é só o grande exportador. Ele é, sobretudo, o pequeno produtor que trabalha de sol a sol para alimentar o Brasil. Na Bahia, mais de 80% dos estabelecimentos rurais são de agricultura familiar. Essas famílias merecem crédito, assistência técnica, acesso a mercado e inclusão digital. Precisamos fortalecer o Programa Nacional de Fortalecimento da Agricultura Familiar (PRONAF), mas também modernizá-lo, simplificando o acesso e reduzindo a burocracia. Outro ponto essencial é a infraestrutura rural , estradas vicinais, energia, internet, logística. Sem esses instrumentos, o produtor do interior fica isolado e perde competitividade. Não podemos permitir que o pequeno produtor seja abandonado à própria sorte. Ele é parte vital da economia e da segurança alimentar do país. E não posso deixar de falar de um tema que me toca profundamente: o papel da mulher no campo. Cada vez mais, são as mulheres que estão assumindo a gestão das propriedades, organizando cooperativas, empreendendo e inovando. No entanto, ainda enfrentam obstáculos: dificuldade de acesso ao crédito, falta de reconhecimento e ausência de políticas específicas. É por isso que, como presidente do PL Mulher na Bahia, reafirmo o meu compromisso de lutar por programas de capacitação, crédito rural diferenciado e incentivos para o empreendedorismo feminino no campo. Empoderar a mulher rural não é apenas uma questão de igualdade, é uma estratégia de eficiência econômica. Onde há mulher liderando, há melhor gestão, mais produtividade e mais compromisso com a comunidade. Este parlamento tem o dever de garantir segurança jurídica, crédito acessível e ambiente favorável a quem produz. O Brasil não pode punir quem trabalha. Precisamos simplificar, desburocratizar e reduzir impostos que sufocam o produtor. Precisamos investir em infraestrutura rural e logística, porque não há competitividade sem estrada, porto e energia de qualidade. Precisamos modernizar o marco regulatório do cooperativismo, permitindo que pequenos produtores se organizem e ganhem escala. E precisamos, também, incentivar o uso de energia renovável no campo, unindo o agro à transição energética, tema que, inclusive, venho debatendo nesta casa com muita convicção. Defender o agronegócio é defender o emprego, a soberania alimentar e o futuro do nosso país. O agro é o Brasil que dá certo, o Brasil que acorda cedo, que não depende de assistencialismo, que acredita no trabalho e na liberdade. É o Brasil que move o país, que sustenta a balança comercial e que leva progresso ao interior. Que esta Casa tenha sabedoria para apoiar quem produz e coragem para enfrentar os desafios que ainda travam o nosso crescimento. Que o campo continue sendo fonte de riqueza, e que cada homem e mulher do agro sinta orgulho de ser parte da transformação do Brasil. Porque o agro não é passado, é o presente e o futuro da nossa Nação. Muito obrigada!
7;Pedro Uczai;"O SR. PEDRO UCZAI (Bloco/PT - SC. Sem revisão do orador.) - Sr. Presidente, Srs. Deputados, Sras. Deputadas, vamos dar mais um passo importante na perspectiva de colocar o Brasil na rota do crescimento, do desenvolvimento, com um sistema tributário simplificado, mais eficiente, com menos custo para as empresas e para os Governos e mais transparente para o povo brasileiro perceber quanto vai pagar de imposto nesse novo sistema tributário nacional. Eu voto ""sim"" à reforma tributária. O que está em debate aqui são dois horizontes fundamentais. De um lado, estão os bolsonaristas, que perderam o argumento e, para serem contra a reforma tributária, precisam mentir, esconder e dizer algumas fake news. Uma Deputada bolsonarista do meu Estado disse que é um cheque em branco para o Governo Federal a reforma tributária. Ou ela não leu o texto, ou está de má-fé, ou está mentindo. Vai haver o Conselho Federativo, no qual com certeza será contemplada a representação dos Governos Estaduais, levando em consideração a população e os Estados. Nesse equilíbrio, esse conselho vai definir a distribuição dos tributos do IVA dual de Estados e Municípios, do ISS e do ICMS. Segunda mentira: dizem que a reforma vai tributar os mais pobres e a cesta básica. Fizeram um carnaval nas redes sociais, e o Relator ontem desmentiu isso aberta e publicamente. Vocês acham que o Ministro Fernando Haddad e o Presidente Lula, com a sensibilidade social que têm, tributariam ou aceitariam tributar os mais pobres e, particularmente, a cesta básica? Vocês perderam esse debate. Vocês vão ficar constrangidos aqui ao votarem contra a reforma tributária, porque vocês não têm argumento. Há um segundo horizonte nessa reforma tributária, algo que não foi feito e está nessa proposição: a necessidade do debate sobre a questão dos agrotóxicos, que nós também criticamos. Além disso, temos que deixar claro que os banqueiros são os que mais lucram neste País, os especuladores são os que mais lucram neste País. Não podem ficar em aberto, nesta reforma tributária, benefícios para o setor financeiro. Portanto, esse ponto tem que ser alterado. De outro lado, não temos a reforma tributária sobre grandes rendas e sobre patrimônio. Essa injustiça do atual sistema se mantém com a votação desta matéria no dia de hoje. Não vamos mexer no 1% mais rico. Não concordo com a visão de que essa reforma tributária vai definir que quem tem mais paga mais e quem tem menos paga menos. No máximo, é uma reforma liberal. Por isso, vai ter a concordância deste Plenário para votar a favor. Nós temos que ir atrás dessa mudança, porque efetivamente quem tem mais deve pagar mais, para universalizar as políticas públicas, distribuir renda e construir um país mais justo, mais solidário e mais igual. Tem que mexer no setor financeiro! Tem que mexer nas grandes fortunas! Tem que mexer nas grandes heranças! Tem que mexer nesses setores que mais se beneficiaram do imposto regressivo ao longo da história. Portanto, hoje não se conclui a reforma tributária. Hoje se conclui uma parte da reforma tributária, que é sobre o consumo, para fazer um pouco mais de justiça nessa área do consumo. Mas nós queremos mais. Fazer justiça no País só é possível ao se fazer justiça tributária. E, na justiça tributária, para universalizarmos o direito à saúde, à educação, à infraestrutura, à neoindustrialização, numa perspectiva social, ambiental e economicamente sustentável, é nessa direção que nós temos que apontar. Ainda não vai ser possível no dia de hoje, mas vamos votar ""sim"" à reforma tributária."
8;Rubens Pereira Júnior;"DISCURSO NA ÍNTEGRA ENCAMINHADO PELO SR. DEPUTADO RUBENS PEREIRA JÚNIOR (SEM REGISTRO TAQUIGRÁFICO). Discurso feito pelo Senhor Rubens Pereira Jr. Na Sessão de 26/05/2026 Sr. Presidente, Sras. e Srs. Deputados, nos termos do Regimento Interno, e dada a impossibilidade de leitura em plenário, solicito a V.Exa. que seja dado como lido, para efeito de registro nos Anais desta Casa, este discurso de minha autoria. Senhoras e senhores parlamentares, é com profundo sentimento de responsabilidade e esperança que me coloco à tribuna hoje, para discutir uma proposta que se olhem como um marco decisivo na qualidade de vida dos trabalhadores brasileiros e, ao mesmo tempo, como um sinal concreto do compromisso do governo federal com o desenvolvimento social e econômico do país. A Proposta de Emenda à Constituição, conhecida como PEC 6x1, prevê a redução da jornada de trabalho para 42 horas semanais, acompanhada de dois dias de folga remunerados, com a meta final de 40 horas semanais após o período de transição de doze meses. Essa iniciativa, que se insere no debate mais amplo sobre a modernização das relações de trabalho, traz consigo a promessa de melhorar a saúde, a produtividade e a conciliação entre vida profissional e familiar, sem acarretar diminuição de remuneração. A urgência e a relevância da medida ganham contornos ainda mais marcantes quando consideramos o calendário estabelecido pela própria redação da PEC. Conforme o parecer do relator, deputado Leo Prates, a redução para 42 horas semanais será implementada exatamente sessenta dias após a promulgação da nova emenda constitucional, momento em que o limite da jornada passará a ser fixado nessa nova referência. Doze meses depois, o parâmetro será definitivamente ajustado para 40 horas semanais, consolidando a diminuição de forma definitiva, sem que haja qualquer redução de salário. Essa temporalidade demonstra a cautela e o planejamento cuidadoso que o governo federal adotou para garantir que a transição ocorra de forma ordenada, respeitando os direitos dos trabalhadores e a estabilidade econômica. A proposta não se limita a estabelecer novos parâmetros de jornada; ela também assegura o direito a dois dias de repouso semanal, com a preferência legal para o domingo, reconhecido como dia de folga remunerada. Essa escolha reflete a sensibilidade do governo em atender às tradições culturais do nosso país, ao mesmo tempo em que garante que o trabalhador tenha tempo suficiente para descanso, lazer e atividades familiares, fatores essenciais para a manutenção da saúde mental e física. Ao preservar o salário integral, a PEC reforça a ideia de que a qualidade de vida não deve ser penalizada por uma redução de horas, mas sim potencializada por uma reorganização mais equilibrada do tempo de trabalho. No cenário político atual, a PEC se apresenta como uma das prioridades do governo do presidente Lula, cujo mandato tem, entre seus principais objetivos, a promoção da justiça social e a valorização do trabalhador. O apoio institucional ao projeto, evidenciado pelo acordo alcançado com o governo e pela apresentação do parecer favorável na comissão especial da Câmara dos Deputados, demonstra a coerência da agenda governamental. A expectativa de que o colegiado vote a proposta na próxima quarta-feira, 27 de maio, reforça a convicção de que há consenso suficiente para avançar para o plenário da Câmara, onde a matéria será apreciada em plenário e, posteriormente, encaminhada ao Senado. A análise da PEC 6x1 requer, porém, uma compreensão aprofundada de seus reflexos sobre a economia nacional. Ao reduzir a jornada, mas manter o mesmo nível de remuneração, o governo projeta um aumento da produtividade, já que os trabalhadores poderão dedicar-se de forma mais concentrada e eficiente às suas atividades. Estudos preliminares indicam que a diminuição das horas excessivas pode gerar ganhos na qualidade do trabalho, reduzindo erros, acidentes e absenteísmo, o que, por sua vez, impacta positivamente nos indicadores de competitividade. Além disso, a ampliação do tempo livre contribui para o consumo interno, onde o trabalhador dispõe de mais recursos disponíveis para gastar em bens e serviços, estimulando o crescimento econômico de forma sustentável. Outro aspecto relevante é a perspectiva de que a PEC 6x1 pode servir de modelo para outras reformas trabalhistas que ainda se discutem no país. Ao estabelecer um marco claro e equilibrado, a proposta cria um precedente que pode facilitar a aprovação de medidas futuras voltadas à modernização das relações de trabalho, sem gerar incertezas jurídicas. Isso é particularmente importante em um momento em que o Brasil busca retomar o crescimento econômico após os desafios recentes, incluindo a volatilidade cambial e a necessidade de retomar a confiança dos investidores. É imprescindível destacar que a PEC não implica em qualquer tipo de prejuízo ao trabalhador. Ao contrário, garante que o salário permaneça integralmente preservado, reforçando a dignidade do trabalhador e assegurando que a redução de jornada não se traduza em menor poder de compra. Essa postura está alinhada ao princípio constitucional de igualdade e à garantia de direitos fundamentais, que o governo federal tem como pilares de sua ação pública. Ao promover a conciliação entre jornada reduzida e remuneração integral, a proposta demonstra sensibilidade ao contexto socioeconômico brasileiro, onde a maioria da população ainda enfrenta desafios para equilibrar trabalho e vida familiar. A expectativa de que a comissão especial vote a PEC na próxima quarta-feira evidencia a maturidade do processo legislativo. O fato de o parecer ter sido apresentado na segunda-feira, após acordo político entre as partes envolvidas, indica um esforço colaborativo que transcende as divisões partidárias tradicionais. Essa cooperação é fundamental para a construção de políticas públicas que atendam aos anseios da sociedade, e representa um passo concreto rumo à consolidação de um Estado mais justo e solidário. Ao considerarmos a implementação prática da medida, é importante que o governo continue a atuar com transparência e apoio técnico, garantindo que as empresas possam adequar seus processos produtivos ao novo regime de trabalho. Programas de capacitação, incentivos fiscais e orientações claras sobre a organização da jornada serão essenciais para evitar rupturas e garantir que a transição seja suave e benéfica para todos os setores da economia. O governo federal, por meio de seus ministérios, já sinaliza a disponibilidade de suporte técnico e de diálogo permanente com os agentes produtivos, reforçando o compromisso com o sucesso da PEC. A aprovação da PEC 6x1 no plenário da Câmara dos Deputados representará um avanço histórico na legislatura, pois trará mudanças reais e palpáveis na vida dos trabalhadores. A partir de 60 dias após a promulgação, o limite da jornada será de 42 horas semanais, com dois dias de folga remunerados, e, após doze meses, a jornada será fixada em 40 horas semanais. Essa trajetória gradativa demonstra sensibilidade ao ritmo produtivo das empresas, ao mesmo tempo em que assegura avanços significativos na qualidade de vida dos trabalhadores. Em síntese, a proposta de redução da jornada para 42 horas e a concessão de dois dias de folga representa um passo importante rumo à modernização do mercado de trabalho brasileiro, alinhado aos princípios de justiça social, dignidade do trabalhador e desenvolvimento econômico sustentável. O apoio do governo do presidente Lula, a colaboração entre os poderes legislativo e executivo, e a previsibilidade proporcionada pelo cronograma de implementação são elementos que reforçam a solidez da iniciativa. Ao aprovar esta PEC, o Congresso Nacional estará contribuindo para a construção de uma sociedade mais equilibrada, onde o trabalho possa ser exercido com maior qualidade de vida, sem que a remuneração seja comprometida. É, portanto, com convicção e otimismo que urge ao plenário a deliberação favorável, para que a PEC 6x1 se torne lei e cumpra seu papel transformador na vida dos brasileiros. Muito Obrigado. Era o que tinha a dizer."
9;Marcio Alvino;"DISCURSO NA ÍNTEGRA ENCAMINHADO PELO SR. DEPUTADO MARCIO ALVINO (SEM REGISTRO TAQUIGRÁFICO). O Sr. MARCIO ALVINO (PLSP) pronuncia o seguinte discurso: Sr. Presidente, Sras. e Srs. Deputados, é com imensa satisfação e honra que expresso meu reconhecimento e aplausos ao Governador do Estado de São Paulo, Tarcísio de Freitas, pelo excepcional trabalho realizado através da Virada Inclusiva. Como presidente da Frente Parlamentar em Defesa das Apaes, é para mim motivo de grande orgulho ver iniciativas tão nobres sendo promovidas em prol da inclusão e do respeito aos direitos da pessoa com deficiência. A Virada Inclusiva, idealizada e promovida pela Secretaria de Estado dos Direitos da Pessoa com Deficiência, é um programa notável que tem transformado a realidade de São Paulo ao incentivar a participação conjunta de pessoas com e sem deficiência em atividades culturais, esportivas e de lazer. Este é um exemplo brilhante de como a colaboração entre diferentes setores da sociedade pode criar uma grade de programação acessível e enriquecedora. Desde o ano de 2010, a Virada Inclusiva tem se destacado ao oferecer uma programação diversificada, unindo a sociedade civil, associações ligadas às pessoas com deficiência e o poder público. A busca por uma sociedade inclusiva para todos é um compromisso que, ao longo dos anos, tem sido reforçado por essa iniciativa exemplar. A Virada Inclusiva de 2023, com o inspirador tema ""Vozes Unidas, Direitos Iguais"", promete mais uma vez proporcionar uma semana de atividades que fortalecem a inclusão e celebram a diversidade. Essa extensa rede de parceiros e colaboradores voluntários é uma verdadeira força motriz por trás dessa iniciativa grandiosa. Ao parabenizar o Governador Tarcísio de Freitas pela liderança e apoio a este programa notável, expresso também meu agradecimento a todos os envolvidos, que contribuem para a construção de uma sociedade mais justa, igualitária e inclusiva. Que o exemplo de São Paulo inspire outros estados e municípios a adotarem práticas similares, promovendo o respeito aos direitos da pessoa com deficiência e construindo juntos um futuro mais inclusivo e acessível para todos os cidadãos. Aproveito também a oportunidade para parabenizar as Apaes de Morungaba, Nhandeara, Tambaú, Iacanga, Santo Anastácio, Socorro, Cananéia, Itariri, Aguaí, Chavantes, Fartura, Pereiras e Poá, que celebram mais um ano de incansável trabalho e dedicação às pessoas com deficiência e suas famílias. Muito obrigado!"
