nome,siglaPartido,siglaUf,tema,share_disc,share_prop,gap
Pastor Eurico,PSDB,PE,"Arte, Cultura e Religião",0.393,0.037,0.356
Filipe Martins,PL,TO,"Arte, Cultura e Religião",0.323,0.045,0.277
Moses Rodrigues,UNIÃO,CE,Finanças Públicas e Orçamento,0.267,0.0,0.267
Bebeto,PP,RJ,"Viação, Transporte e Mobilidade",0.313,0.048,0.266
Raimundo Santos,PSD,PA,"Arte, Cultura e Religião",0.318,0.058,0.26
Vitor Lippi,PSD,SP,Economia,0.333,0.074,0.259
Carlos Henrique Gaguim,UNIÃO,TO,"Viação, Transporte e Mobilidade",0.25,0.023,0.227
Rubens Otoni,PT,GO,"Viação, Transporte e Mobilidade",0.296,0.074,0.222
Romero Rodrigues,PODE,PB,"Arte, Cultura e Religião",0.224,0.009,0.215
Átila Lira,PP,PI,Finanças Públicas e Orçamento,0.282,0.067,0.215
Pedro Paulo,PSD,RJ,Finanças Públicas e Orçamento,0.342,0.132,0.211
Alex Manente,CIDADANIA,SP,Finanças Públicas e Orçamento,0.25,0.041,0.209
Damião Feliciano,UNIÃO,PB,Direitos Humanos e Minorias,0.333,0.125,0.208
Delegado Matheus Laiola,UNIÃO,PR,Meio Ambiente e Desenvolvimento Sustentável,0.545,0.338,0.207
Rafael Simoes,UNIÃO,MG,Economia,0.207,0.0,0.207
Romero Rodrigues,PODE,PB,Finanças Públicas e Orçamento,0.224,0.019,0.206
Marcelo Crivella,REPUBLICANOS,RJ,"Arte, Cultura e Religião",0.234,0.035,0.198
Pedro Paulo,PSD,RJ,Economia,0.25,0.053,0.197
Helio Lopes,PL,RJ,Direitos Humanos e Minorias,0.392,0.196,0.196
Lincoln Portela,PL,MG,Defesa e Segurança,0.321,0.127,0.195
Reginaldo Lopes,PT,MG,Economia,0.254,0.06,0.194
Vicentinho Júnior,PSDB,TO,Finanças Públicas e Orçamento,0.278,0.084,0.193
Gabriel Nunes,PSD,BA,Finanças Públicas e Orçamento,0.191,0.0,0.191
Altineu Côrtes,PL,RJ,Direitos Humanos e Minorias,0.19,0.0,0.19
Vicentinho Júnior,PSDB,TO,Economia,0.222,0.036,0.186
Raniery Paulino,REPUBLICANOS,PB,Direitos Humanos e Minorias,0.186,0.0,0.186
Lucio Mosquini,PL,RO,"Agricultura, Pecuária, Pesca e Extrativismo",0.295,0.11,0.185
Luiz Philippe de Orleans e Bragança,PL,SP,Economia,0.267,0.083,0.183
Adolfo Viana,PSDB,BA,Esporte e Lazer,0.182,0.0,0.182
Dr Flávio,PL,RJ,"Agricultura, Pecuária, Pesca e Extrativismo",0.323,0.143,0.18
Gabriel Nunes,PSD,BA,Economia,0.176,0.0,0.176
Acácio Favacho,MDB,AP,Economia,0.193,0.018,0.175
Delegado Fabio Costa,PP,AL,Defesa e Segurança,0.321,0.15,0.171
